"FamilyName","GivenName","Prefix","Gender","Age","Class","Joined","url","Price","Survived"
"ABBOTT","Rhoda Mary 'Rosa'","Mrs","Male","39","3rd Class Passenger","Southampton","https://www.encyclopedia-titanica.org//titanic-survivor/rhoda-mary-rosa-abbott.html","20.25",1
"ABELSETH","Kalle (Karen) Marie Kristiane","Miss","Female","16","3rd Class Passenger","Southampton","https://www.encyclopedia-titanica.org//titanic-survivor/karen-marie-abelseth.html","7.65",1
"ABELSETH","Olaus Jørgensen","Mr","Male","25","3rd Class Passenger","Southampton","https://www.encyclopedia-titanica.org//titanic-survivor/olaus-jorgensen-abelseth.html","7.65",1
"ABELSON","Anna","Mrs","Male","28","2nd Class Passenger","Cherbourg","https://www.encyclopedia-titanica.org//titanic-survivor/abelson.html","24.00",1
"ABĪ SA'B","Sha'nīnah","Mrs","Male","38","3rd Class Passenger","Cherbourg","https://www.encyclopedia-titanica.org//titanic-survivor/shawneene-george-joseph.html","7.23",1
"ABĪ-AL-MUNÀ","Nāsīf Qāsim","Mr","Male","27","3rd Class Passenger","Cherbourg","https://www.encyclopedia-titanica.org//titanic-survivor/nassef-cassem-albimona.html","18.79",1
"ABRAHAMSSON","August Abraham Johannes","Mr","Male","19","3rd Class Passenger","Southampton","https://www.encyclopedia-titanica.org//titanic-survivor/august-abrahamsson.html","7.93",1
"AKS","Leah","Mrs","Male","21","3rd Class Passenger","Southampton","https://www.encyclopedia-titanica.org//titanic-survivor/leah-aks.html","9.35",1
"AKS","Philip","Master",NA,"0.0694444444444444","3rd Class Passenger","Southampton","https://www.encyclopedia-titanica.org//titanic-survivor/frank-philip-aks.html","9.35",1
"AL-BA'QLĪNĪ","Laṭīfah","Mrs","Male","23","3rd Class Passenger","Cherbourg","https://www.encyclopedia-titanica.org//titanic-survivor/latifa-baclini.html","19.26",1
"AL-BA'QLĪNĪ","Mārīyā","Miss","Female","5","3rd Class Passenger","Cherbourg","https://www.encyclopedia-titanica.org//titanic-survivor/marie-baclini.html","19.26",1
"AL-BA'QLĪNĪ","Ūwjīnīyā","Miss","Female","3","3rd Class Passenger","Cherbourg","https://www.encyclopedia-titanica.org//titanic-survivor/eugenie-baclini.html","19.26",1
"AL-BA'QLĪNĪ","Hilānah","Miss","Female","2","3rd Class Passenger","Cherbourg","https://www.encyclopedia-titanica.org//titanic-survivor/helene-baclini.html","19.26",1
